"cust_a_id","cust_b_id","name_a","name_b","domain_a","domain_b","signup_a","signup_b","same_domain","similar_name","similar_signup","match_score","duplicate_confidence"
291,447,"beam stack","beam software","protonmail.com","protonmail.com","2024-02-11","2024-02-16",1,1,1,3,"HIGH — likely duplicate"
657,1001,"flow studio","flow io","tech.dev","tech.dev","2025-08-02","2025-07-29",1,1,1,3,"HIGH — likely duplicate"
795,1120,"acme ventures","acme stack","corp.net","hotmail.com","2023-01-01","2023-01-02",0,1,1,2,"MEDIUM — probable duplicate"
795,1090,"acme ventures","acme digital","corp.net","corp.net","2023-01-01","2025-04-25",1,1,0,2,"MEDIUM — probable duplicate"
59,322,"mistdev","rushgroup","tech.dev","tech.dev","2023-01-03","2023-01-01",1,0,1,2,"MEDIUM — probable duplicate"
59,534,"mistdev","quarkcloud","tech.dev","tech.dev","2023-01-03","2023-01-09",1,0,1,2,"MEDIUM — probable duplicate"
197,976,"lunaplatform","edge ops","outlook.com","outlook.com","2023-01-09","2023-01-15",1,0,1,2,"MEDIUM — probable duplicate"
197,679,"lunaplatform","rift digital","outlook.com","outlook.com","2023-01-09","2023-01-16",1,0,1,2,"MEDIUM — probable duplicate"
65,981,"yield group","quarkplatform","enterprise.com","enterprise.com","2023-01-10","2023-01-04",1,0,1,2,"MEDIUM — probable duplicate"
679,976,"rift digital","edge ops","outlook.com","outlook.com","2023-01-16","2023-01-15",1,0,1,2,"MEDIUM — probable duplicate"
624,962,"arcdev","yielddynamics","hotmail.com","hotmail.com","2023-01-18","2023-01-22",1,0,1,2,"MEDIUM — probable duplicate"
739,869,"yieldcloud","boltgroup","tech.dev","tech.dev","2023-01-18","2023-01-25",1,0,1,2,"MEDIUM — probable duplicate"
339,455,"datahq","hubworks","company.io","company.io","2023-01-20","2023-01-22",1,0,1,2,"MEDIUM — probable duplicate"
676,739,"wavecloud","yieldcloud","tech.dev","tech.dev","2023-01-22","2023-01-18",1,0,1,2,"MEDIUM — probable duplicate"
526,835,"quark pro","orbit net","protonmail.com","protonmail.com","2023-01-22","2023-01-22",1,0,1,2,"MEDIUM — probable duplicate"
676,869,"wavecloud","boltgroup","tech.dev","tech.dev","2023-01-22","2023-01-25",1,0,1,2,"MEDIUM — probable duplicate"
198,734,"driftstudio","keensolutions","gmail.com","gmail.com","2023-01-25","2023-01-22",1,0,1,2,"MEDIUM — probable duplicate"
209,455,"keenlogic","hubworks","company.io","company.io","2023-01-29","2023-01-22",1,0,1,2,"MEDIUM — probable duplicate"
1,900,"rush platform","rush software","corp.net","corp.net","2023-01-31","2024-03-21",1,1,0,2,"MEDIUM — probable duplicate"
753,773,"trekio","flux corp","tech.dev","tech.dev","2023-02-09","2023-02-11",1,0,1,2,"MEDIUM — probable duplicate"
753,941,"trekio","data studio","tech.dev","tech.dev","2023-02-09","2023-02-11",1,0,1,2,"MEDIUM — probable duplicate"
773,941,"flux corp","data studio","tech.dev","tech.dev","2023-02-11","2023-02-11",1,0,1,2,"MEDIUM — probable duplicate"
773,860,"flux corp","flux group","tech.dev","tech.dev","2023-02-11","2023-08-18",1,1,0,2,"MEDIUM — probable duplicate"
899,1014,"rift logic","peak studio","gmail.com","gmail.com","2023-02-15","2023-02-18",1,0,1,2,"MEDIUM — probable duplicate"
899,1031,"rift logic","rift works","gmail.com","gmail.com","2023-02-15","2024-12-20",1,1,0,2,"MEDIUM — probable duplicate"
849,899,"flow cloud","rift logic","gmail.com","gmail.com","2023-02-18","2023-02-15",1,0,1,2,"MEDIUM — probable duplicate"
849,1014,"flow cloud","peak studio","gmail.com","gmail.com","2023-02-18","2023-02-18",1,0,1,2,"MEDIUM — probable duplicate"
1024,1100,"arc hub","sync logic","startup.co","startup.co","2023-02-21","2023-02-21",1,0,1,2,"MEDIUM — probable duplicate"
1100,1152,"sync logic","unitventures","startup.co","startup.co","2023-02-21","2023-02-15",1,0,1,2,"MEDIUM — probable duplicate"
1024,1152,"arc hub","unitventures","startup.co","startup.co","2023-02-21","2023-02-15",1,0,1,2,"MEDIUM — probable duplicate"
701,1197,"cloud io","cloud cloud","cloudio.com","corp.net","2023-02-26","2023-02-25",0,1,1,2,"MEDIUM — probable duplicate"
341,1104,"vertexio","luna analytics","tech.dev","tech.dev","2023-03-05","2023-03-03",1,0,1,2,"MEDIUM — probable duplicate"
881,1144,"orbitsoftware","zen io","company.io","company.io","2023-03-10","2023-03-16",1,0,1,2,"MEDIUM — probable duplicate"
966,1009,"glow hub","linkdigital","corp.net","corp.net","2023-03-10","2023-03-17",1,0,1,2,"MEDIUM — probable duplicate"
90,1144,"drifthub","zen io","company.io","company.io","2023-03-11","2023-03-16",1,0,1,2,"MEDIUM — probable duplicate"
90,881,"drifthub","orbitsoftware","company.io","company.io","2023-03-11","2023-03-10",1,0,1,2,"MEDIUM — probable duplicate"
90,787,"drifthub","unitsolutions","company.io","company.io","2023-03-11","2023-03-17",1,0,1,2,"MEDIUM — probable duplicate"
28,299,"keen software","keen analytics","hotmail.com","hotmail.com","2023-03-13","2023-07-31",1,1,0,2,"MEDIUM — probable duplicate"
